timestamp,intersection_id,vertical_waiting,horizontal_waiting,current_vertical_light,current_horizontal_light,action_taken,reward
1755790769.380213,main,9,14,green,red,stay,0
1755790770.24726,main,9,14,green,red,stay,0
1755790791.373726,main,9,14,green,red,stay,0
1755790792.9841046,main,9,14,green,red,stay,0
1755790862.525509,main,9,14,green,red,stay,0
1755791660.7495875,main,9,14,green,red,stay,0
1755791692.897151,main,9,14,green,red,stay,0
1755791695.0326722,main,9,14,green,red,stay,0
1755791695.7694323,main,9,14,green,red,stay,0
1755791696.0242934,main,9,14,green,red,stay,0
1755791696.248614,main,9,14,green,red,stay,0
1755791704.0166612,main,9,14,green,red,stay,0
1755791705.1148415,main,9,14,green,red,stay,0
1755791723.1691287,main,9,14,green,red,stay,0
1755791725.9124515,main,9,14,green,red,stay,0
1756144689.5598884,main,9,14,green,red,stay,0
1756145324.7114804,main,9,14,green,red,stay,0
1756172906.2800784,main,9,14,green,red,stay,0
1756172910.1319509,main,9,14,green,red,stay,0
1756172910.5893266,main,9,14,green,red,stay,0
1756172910.8061242,main,9,14,green,red,stay,0
1756172911.036442,main,9,14,green,red,stay,0
1756172911.219919,main,9,14,green,red,stay,0
1756172912.6228786,main,9,14,green,red,stay,0
1756172912.8762393,main,9,14,green,red,stay,0
1756172913.0850651,main,9,14,green,red,stay,0
1756172913.285177,main,9,14,green,red,stay,0
1756172913.876023,main,9,14,green,red,stay,0
1756172914.1490996,main,9,14,green,red,stay,0
1756172914.3739204,main,9,14,green,red,stay,0
1756172914.6397088,main,9,14,green,red,stay,0
1756172914.869076,main,9,14,green,red,stay,0
1756172915.1007476,main,9,14,green,red,stay,0
1756172915.3091013,main,9,14,green,red,stay,0
1756172915.5321028,main,9,14,green,red,stay,0
1756172915.7640727,main,9,14,green,red,stay,0
1756172915.9799235,main,9,14,green,red,stay,0
1756172918.8697443,main,9,14,green,red,stay,0
1756172942.1880383,main,9,14,green,red,stay,0
1756172946.6039507,main,9,14,green,red,stay,0
1756172949.7314596,main,9,14,green,red,stay,0
1756172950.4036717,main,9,14,green,red,stay,0
1756172951.0989563,main,9,14,green,red,stay,0
1756172951.491803,main,9,14,green,red,stay,0
1756172951.7157621,main,9,14,green,red,stay,0
1756172951.9248383,main,9,14,green,red,stay,0
1756172952.1559823,main,9,14,green,red,stay,0
1756172952.6698687,main,9,14,green,red,stay,0
1756172955.733823,main,9,14,green,red,stay,0
1756179422.892719,main,9,14,green,red,stay,0
1756179424.7570422,main,9,14,green,red,stay,0
1756179426.3801222,main,9,14,green,red,stay,0
1756179426.5888798,main,9,14,green,red,stay,0
1756179426.7886307,main,9,14,green,red,stay,0
1756179426.972344,main,9,14,green,red,stay,0
1756179427.1727881,main,9,14,green,red,stay,0
1756179427.388843,main,9,14,green,red,stay,0
1756179427.6043758,main,9,14,green,red,stay,0
1756179427.8049262,main,9,14,green,red,stay,0
1756179428.0204718,main,9,14,green,red,stay,0
1756179428.2205653,main,9,14,green,red,stay,0
1756179428.435467,main,9,14,green,red,stay,0
1756179428.6114655,main,9,14,green,red,stay,0
1756179428.8050163,main,9,14,green,red,stay,0
1756179441.0372903,main,9,14,green,red,stay,0
1756180138.7391367,main,9,14,green,red,stay,0
1756180141.706091,main,9,14,green,red,stay,0
1756180141.9001372,main,9,14,green,red,stay,0
1756180142.0704393,main,9,14,green,red,stay,0
1756180142.2749476,main,9,14,green,red,stay,0
1756180142.4574673,main,9,14,green,red,stay,0
1756180142.6587055,main,9,14,green,red,stay,0
1756180142.8426452,main,9,14,green,red,stay,0
1756180143.0903823,main,9,14,green,red,stay,0
1756180160.540103,main,9,14,green,red,stay,0
1756180177.9319286,main,9,14,green,red,stay,0
1756180179.8264685,main,9,14,green,red,stay,0
1756180180.1579618,main,9,14,green,red,stay,0
1756180182.0529482,main,9,14,green,red,stay,0
1756180182.3237066,main,9,14,green,red,stay,0
1756180182.5155437,main,9,14,green,red,stay,0
1756180182.7730737,main,9,14,green,red,stay,0
1756180204.998986,main,0,26,green,red,stay,0
1756180207.482892,main,0,26,green,red,stay,0
1756180207.8183122,main,0,26,green,red,stay,0
1756180208.0447912,main,0,26,green,red,stay,0
1756180208.2306786,main,0,26,green,red,stay,0
1756180208.4444213,main,0,26,green,red,stay,0
1756180208.676555,main,0,26,green,red,stay,0
1756180210.5152209,main,0,26,green,red,stay,0
1756180212.1088257,main,0,26,green,red,stay,0
1756180212.6767986,main,0,26,green,red,stay,0
1756180213.2990134,main,0,26,green,red,stay,0
1756180214.2783344,main,0,26,green,red,stay,0
1756180214.5147882,main,0,26,green,red,stay,0
1756180214.6984231,main,0,26,green,red,stay,0
1756180215.314759,main,0,26,green,red,stay,0
1756180215.5415053,main,0,26,green,red,stay,0
1756180215.7628987,main,0,26,green,red,stay,0
1756180215.9562016,main,0,26,green,red,stay,0
1756180221.060523,main,0,26,green,red,stay,0
1756180657.2791936,main,0,35,green,red,stay,0
1756180663.930943,main,0,35,green,red,stay,0
1756180664.1307352,main,0,35,green,red,stay,0
1756180664.321456,main,0,35,green,red,stay,0
1756180664.5116332,main,0,35,green,red,stay,0
1756180664.693376,main,0,35,green,red,stay,0
1756180664.9457803,main,0,35,green,red,stay,0
1756180666.6973877,main,0,35,green,red,stay,0
1756180666.9416206,main,0,35,green,red,stay,0
1756180667.1559298,main,0,35,green,red,stay,0
1756180667.3729575,main,0,35,green,red,stay,0
1756180667.5948582,main,0,35,green,red,stay,0
1756180669.2098925,main,0,35,green,red,stay,0
1756180698.3845315,main,9,14,green,red,stay,0
1756180711.4454372,main,0,29,green,red,stay,0
1756180713.7093935,main,0,29,green,red,stay,0
